Source,Report name,DB,Schema,Table,Is Sensitive,Email,DOB,Name,Account Number,Member,Gender,Phone number,Card Number,SSN,TIN
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,example@example.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,2023-01-01,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Oak St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Regular Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,9876543210987654,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4222222222222222,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Regular Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1990-12-25,,,,,,,,
